Specification,ErpId,TaxRateCd,StorageModeName,,Unit,Name,BasicUnitCd,,SupplierName,Id,SupplierCd,Cd,ConversionNumerator,ConversionDenominator,TargetUnit,BackgroundClassificationId,ShowUnitName,BackgroundClassificationName,TaxRateName,,BasicUnitName,,SupplierId,SalesUnitName,SalesUnitCd
10w,114989,SL07_SYS,干货,,个,LED暖光灯泡10w(统采),6,,四川寒容达贸易有限公司,2ef9dc3b-8457-4574-8a13-496856d5089f,207,280700001,1,1,6,2807,个,五金杂件,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
3XL,163051,SL07_SYS,干货,,套,小龙翻大江厨师服冬装3XL（上衣+裤子）,14,,四川寒容达贸易有限公司,340c714e-9c63-40ec-ad1c-2aaf858e2fac,207,280200515,1,1,14,2802,套,服装服饰,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,套,14
2L,165552,SL07_SYS,干货,,个,不锈钢水壶2L(统采),6,,四川寒容达贸易有限公司,3fd6e4d9-a92a-4e43-8a0c-eb31b5de9441,207,280100124,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
150g*60袋/箱,115657,SL63_SYS,冻货,,60袋/箱,自然馋鸭郡花150g*60,4,,四川煮饭自然馋贸易有限公司,397ff649-8ed5-47a3-bc6d-04d0bbeab8f7,208,200300039,1,1,4,2003,箱,禽肉,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,60袋/箱,60袋/箱
糍粑10g*60颗*10袋+（糖35g+粉5g）*30袋,115871,SL02_SYS,冻货,,10袋/箱,自然馋酒酿迷你糍粑7.2kg,4,,四川煮饭自然馋贸易有限公司,4ab9168c-d839-4783-8339-af0de18e5c0c,208,201100060,1,1,4,2011,箱,小吃,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
2XL,149826,SL07_SYS,干货,,件,2.0黑色服务员上衣男2XL 冬,21,,四川寒容达贸易有限公司,3e146369-7535-4c46-958a-674304c55756,207,280200297,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
1000个/箱（300ml/个）,116004,SL02_SYS,干货,,1000个/箱,九阳豆浆(外卖盒盖)1000个,6,,四川煮饭自然馋贸易有限公司,3bdb3870-1346-4101-82a5-d3c424e95ab9,208,280400068,1,1,6,2804,箱,易耗用品,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,1000个/箱,1000个/箱
1,114638,SL07_SYS,干货,,个,竹器长盘,6,,四川寒容达贸易有限公司,3f6be78d-55bf-4fc2-8fd4-3123d813a307,207,280300199,1,1,6,2803,个,餐具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
290cm*120cm,114742,SL07_SYS,干货,,张,防滑地垫290cm*120cm(统采),18,,四川寒容达贸易有限公司,2f50e328-2cec-4fde-8fb3-53410bd0ae3a,207,280400071,1,1,18,2804,张,易耗用品,3%增值税,,张,,da1413ba-0221-4656-bfff-ec7dceaf47cd,张,18
2000张/包,161240,SL07_SYS,干货,,2000张/包,火锅菜餐盒收纳袋不干胶2000张,18,,四川寒容达贸易有限公司,347c00fe-a5a1-4cc6-b9c0-5dd4dd48382f,207,280400655,1,1,18,2804,包,易耗用品,3%增值税,,张,,da1413ba-0221-4656-bfff-ec7dceaf47cd,2000张/包,2000张/包
L,114346,SL07_SYS,干货,,件,2021年易园侠客风男士夏装短袖L(整套),21,,四川寒容达贸易有限公司,40830c39-952a-4d8c-b0e0-0f42f0f455bd,207,280200026,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
39cm燃气版,149931,SL02_SYS,干货,,个,锅圈（39cm燃气版）,6,,四川煮饭自然馋贸易有限公司,3980bf25-da0b-477d-97db-9fa26f33c013,208,280700519,1,1,6,2807,个,五金杂件,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
35g*120袋/箱,115178,SL02_SYS,干货,,120袋/箱,探川浓香棒骨调味粉35g*120,4,,四川君乐天达贸易有限公司,4ae5f28a-2eba-4b10-b2c0-5e1a45ce391c,206,230300016,1,1,4,2303,箱,调味粉,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,120袋/箱,120袋/箱
110*85cm,115424,SL07_SYS,干货,,张,蜀大侠雕花火锅桌_6,18,,四川群蓉达贸易有限公司,3f7da37b-1d43-4390-ab24-7665d81c48ab,201,260100097,1,1,18,2601,张,定制软装,3%增值税,,张,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,张,18
34.6*21.5*7cm（4个*3盒/箱）,115963,SL02_SYS,干货,,个,四方侧面国风镭雕盘(3.0),6,,四川煮饭自然馋贸易有限公司,3c4cba45-20b3-439b-9fcd-a617f35c9c7b,208,280300160,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
抄码,115611,SL63_SYS,冻货,,千克,牛舌(上海直供),23,,四川煮饭自然馋贸易有限公司,40abf369-3474-47d8-9405-605321ef0399,208,200100019,1,1,23,2001,千克,牛肉,9%增值税,,千克,,5e30996b-ec2a-4410-a317-c64856a48b2e,千克,23
2.5kg/袋,161358,SL04_SYS,冻货,,袋,鸭肠2.5kg,4,,四川煮饭自然馋贸易有限公司,305fab09-8bfd-45b1-97d5-9bbf471f8610,208,200300436,1,1,4,2003,袋,禽肉,零税率的增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,袋,4
900g*10袋/箱,115227,SL02_SYS,干货,,10袋/箱,薄盐劲鲜鸡精900g*10,4,,四川君乐天达贸易有限公司,35c93ecf-f7fd-4c21-a167-179aa8122ab4,206,240500001,1,1,4,2405,箱,调味品,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,10袋/箱,10袋/箱
22L/桶,161374,SL07_SYS,干货,,桶,天德利醋22L,16,,四川寒容达贸易有限公司,40e27db0-31e0-4061-9863-1c733043090d,207,240500455,1,1,16,2405,桶,调味品,3%增值税,,桶,,da1413ba-0221-4656-bfff-ec7dceaf47cd,桶,16
80*32cm,161493,SL02_SYS,干货,,个,水瓶灯80cm*32cm,6,,四川煮饭自然馋贸易有限公司,3a30a9f2-7bd0-4c86-b690-49a30615e76b,208,260100284,1,1,6,2601,个,定制软装,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
外径 525x365x235内径485x330x230,161872,SL02_SYS,干货,,个,恒丰5925带盖标示盒52.5cm*36.5cm*23.5cm,6,,四川煮饭自然馋贸易有限公司,4b557105-66c8-4380-8fd0-23323d0bbed9,208,280100773,1,1,6,2801,个,餐厨用具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
 ,161647,SL02_SYS,干货,,条,罗斯福款客用围裙,15,,四川寒容达贸易有限公司,3fd6c3c2-d206-4b76-b14d-b18b3f966aa1,207,280201138,1,1,15,2802,条,服装服饰,13%增值税,,条,,da1413ba-0221-4656-bfff-ec7dceaf47cd,条,15
500g*20袋/箱,115723,SL02_SYS,冻货,,20袋/箱,潮禧汕头牛肉丸AAA特级500g*20,4,,四川煮饭自然馋贸易有限公司,3c77350e-9850-41cf-aa1e-0f89b70be4a0,208,200600012,1,1,4,2006,箱,丸滑,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,20袋/箱,20袋/箱
1kg*10袋/件,162067,SL02_SYS,冻货,,10袋/件,雪花菇菇1kg*10,4,,四川煮饭自然馋贸易有限公司,412be577-cafd-4b18-ad07-61107e2b0949,208,201100597,1,1,4,2011,件,小吃,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/件,10袋/件
1kg,161361,SL07_SYS,干货,,千克,新一代海椒面1kg,23,,四川寒容达贸易有限公司,31407dad-c7f3-446a-b29b-4cbef051d3e2,207,240300440,1,1,23,2403,千克,香辛料,3%增值税,,千克,,da1413ba-0221-4656-bfff-ec7dceaf47cd,千克,23
135g*74袋/箱,115082,SL02_SYS,干货,,74袋/箱,蜀大侠菌汤膏135g*74,4,,四川君乐天达贸易有限公司,35f421d3-124b-4897-ac96-b9b3f707cfbf,206,220300005,1,1,4,2203,箱,菌汤膏,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,74袋/箱,74袋/箱
50个/件,161772,SL02_SYS,干货,,个,不锈钢份数盆（不带盖）,6,,四川煮饭自然馋贸易有限公司,40e5eea9-d616-4d9f-bd39-0134367c6048,208,280100873,1,1,6,2801,个,餐厨用具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
500g*50袋/箱,115092,SL02_SYS,干货,,50袋/箱,探川冒菜酸菜底料500g*50,4,,四川君乐天达贸易有限公司,3ace597f-89aa-4678-865d-fbd8e98e1beb,206,220900009,1,1,4,2209,箱,酸菜料,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,50袋/箱,50袋/箱
1080个/件,162022,SL02_SYS,干货,,个,大号PP托盘20.5cm*23cm*4cm,6,,四川煮饭自然馋贸易有限公司,4bacda69-5958-4073-81a0-b69f3acf7cdd,208,280300632,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
L,162952,SL07_SYS,干货,,套,2.0黑色刺绣服务员男L(上衣+裤子+围裙+包包),14,,四川寒容达贸易有限公司,4151fcbd-a6df-421e-8295-980c7b003206,207,280200511,1,1,14,2802,套,服装服饰,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,套,14
底部直径13cm；上口直径9cm；高30cm,114226,SL07_SYS,干货,,个,玻璃泡菜坛(统采),6,,四川寒容达贸易有限公司,3d9c05d8-b77f-44bb-8278-5a4bc9149999,207,280100051,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
宽3cm,114791,SL07_SYS,干货,,卷,泡沫胶(统采),9,,四川寒容达贸易有限公司,412fa838-d586-4204-b237-164dabea7842,207,280400128,1,1,9,2804,卷,易耗用品,3%增值税,,卷,,da1413ba-0221-4656-bfff-ec7dceaf47cd,卷,9
160个/份,161705,SL02_SYS,冻货,,160个/份,净菜菊花郡肝160个,6,,四川煮饭自然馋贸易有限公司,31b34f67-bfbb-40ff-a3cf-84db66422b6a,208,200301021,1,1,6,2003,份,禽肉,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,160个/份,160个/份
电磁炉版,149803,SL02_SYS,干货,,口,子母锅(电磁炉版）,10,,四川煮饭自然馋贸易有限公司,363bf1ef-0870-434f-84e2-4fcacf448454,208,270500510,1,1,10,2705,口,工器炉具,13%增值税,,口,,5e30996b-ec2a-4410-a317-c64856a48b2e,口,10
1kg*10袋/箱,115816,SL63_SYS,干货,,10袋/箱,笋胡子泉水笋片1kg*10,4,,四川煮饭自然馋贸易有限公司,411e4727-f501-43fd-b791-eceed3c0f5cc,208,200900058,1,1,4,2009,箱,素菜,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
2.5kg*8袋/件,149747,SL02_SYS,干货,,8袋/件,糯米粉2.5kg*8,4,,四川煮饭自然馋贸易有限公司,3ad52126-2e6a-43f0-a4a4-15d3cf1c5fd8,208,240400604,1,1,4,2404,件,米面粮油,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,8袋/件,8袋/件
24支*200包/箱,166403,SL07_SYS,干货,,包,塑料小吸管25cm-24支(统采),2,,四川寒容达贸易有限公司,4bc0228e-f413-4e29-b401-951b560ad40f,207,280400276,1,1,2,2804,包,易耗用品,3%增值税,,包,,da1413ba-0221-4656-bfff-ec7dceaf47cd,包,2
5kg/桶,114903,SL07_SYS,干货,,5千克/桶,草酸液5kg/桶(统采),23,,四川寒容达贸易有限公司,41e9e1d5-bd0c-422d-b7e1-9dacf23057d1,207,280500007,1,1,23,2805,桶,清洁工具,3%增值税,,千克,,da1413ba-0221-4656-bfff-ec7dceaf47cd,5千克/桶,5千克/桶
L,170081,SL07_SYS,干货,,件,2.0黑色服务员上衣男L 夏,21,,四川寒容达贸易有限公司,3e20a5c5-22d8-4cdb-aad2-d4dd91b78ea1,207,280201275,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
48*34.5*29.5cm,114199,SL07_SYS,干货,,个,5011收纳箱48cm*34.5cm*29.5cm(统采),6,,四川寒容达贸易有限公司,416a5be9-2fe3-401b-9bc8-d8e1191d42b0,207,280100023,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
25*7cm(18个/箱),166313,SL02_SYS,干货,,18个/箱,密胺灰底深圆盘2.0(迭代版)-18个,6,,四川煮饭自然馋贸易有限公司,32a98e51-7625-4126-b001-d46b8fc9d472,208,280300309,1,1,6,2803,箱,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,18个/箱,18个/箱
XXXXL,114382,SL07_SYS,干货,,件,吃城都冬装卫衣(鱼火锅)-XXXXL,21,,四川寒容达贸易有限公司,37281abf-5a43-4b02-977a-61d6efdfe083,207,280200062,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
 ,114900,SL07_SYS,干货,,个,安利喷壶(统采),6,,四川寒容达贸易有限公司,42435338-c471-46b2-a2e1-b576792e03d9,207,280500004,1,1,6,2805,个,清洁工具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
125g*80袋/箱,115083,SL02_SYS,干货,,80袋/箱,探川菌汤膏125g*80,4,,四川君乐天达贸易有限公司,3b0c925d-d2a6-4162-9921-9704f1e32e63,206,220300006,1,1,4,2203,箱,菌汤膏,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,80袋/箱,80袋/箱
50个*10扎/箱,114762,SL07_SYS,干货,,10扎/箱,垃圾袋1.2m*1.4m-500个(统采),17,,四川寒容达贸易有限公司,4bc387d7-a6da-48b7-bc6d-2f9f6bf0ef69,207,280400098,1,1,17,2804,箱,易耗用品,3%增值税,,扎,,da1413ba-0221-4656-bfff-ec7dceaf47cd,10扎/箱,10扎/箱
150g/盒,161503,SL02_SYS,冻货,,盒,蜀大侠卤味肥肠150g,8,,四川煮饭自然馋贸易有限公司,41eca598-cd14-432e-8eef-a7b97d22b1c3,208,201000155,1,1,8,2010,盒,腌卤品,13%增值税,,盒,,5e30996b-ec2a-4410-a317-c64856a48b2e,盒,8
带包装,149980,SL07_SYS,干货,,个,水牌（带包装）,6,,四川寒容达贸易有限公司,3e2e2203-a8ab-4814-a169-4be3f201ffdd,207,260100525,1,1,6,2601,个,定制软装,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
150g/袋,115746,SL02_SYS,冻货,,袋,自然馋虾滑(样品),4,,四川煮饭自然馋贸易有限公司,41c51e47-fc26-4b56-8ef9-3967ad2e4a07,208,200600038,1,1,4,2006,袋,丸滑,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,袋,4
32个/箱,114593,SL07_SYS,干货,,32个/箱,粗调味缸1,6,,四川寒容达贸易有限公司,32bd4075-3484-42bd-bc5f-396ca4bb6b41,207,280300091,1,1,6,2803,箱,餐具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,32个/箱,32个/箱
500g/袋,161323,SL07_SYS,干货,,袋,宁夏枸杞500g,4,,四川寒容达贸易有限公司,37b578c5-1628-440f-8ba1-6ddeba040886,207,240600492,1,1,4,2406,袋,干杂,3%增值税,,袋,,da1413ba-0221-4656-bfff-ec7dceaf47cd,袋,4
M,162938,SL07_SYS,干货,,套,2.0灰色刺绣服务员男M(上衣+裤子+围裙+包包),14,,四川寒容达贸易有限公司,42a1c86f-6869-4ded-9b0e-03d340c45015,207,280200461,1,1,14,2802,套,服装服饰,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,套,14
1000张/件,150133,SL07_SYS,干货,,1000张/件,火锅菜一次性餐垫纸1000张(直营),18,,四川寒容达贸易有限公司,3b16c621-6539-430c-8692-201a12a03a4e,207,280400608,1,1,18,2804,件,易耗用品,3%增值税,,张,,da1413ba-0221-4656-bfff-ec7dceaf47cd,1000张/件,1000张/件
1kg*10袋/件,149746,SL02_SYS,冻货,,10袋/件,v型蟹柳1kg*10,4,,四川煮饭自然馋贸易有限公司,4cb2e516-646f-4dcd-b49a-b344308d5bdb,208,200700590,1,1,4,2006,件,丸滑,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/件,10袋/件
1kg*10袋/箱,115732,SL02_SYS,冻货,,10袋/箱,模拟V型蟹柳1kg*10(深圳),4,,四川煮饭自然馋贸易有限公司,43e0be03-5bae-4f63-9ddf-af47f06ad876,208,200600026,1,1,4,2006,箱,丸滑,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
XXXXL,114351,SL07_SYS,干货,,件,2021年易园侠客风男士夏装短袖XXXXL(整套),21,,四川寒容达贸易有限公司,3ebe463c-690f-434e-87e1-5711aa0125a0,207,280200031,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
340g*24罐/件,149750,SL02_SYS,干货,,24罐/件,火腿猪肉罐头340g*24,7,,四川煮饭自然馋贸易有限公司,41dbce4f-fdbb-45e3-8ba1-0255bb272e0e,208,200800632,1,1,7,2008,件,方便食品,13%增值税,,罐,,5e30996b-ec2a-4410-a317-c64856a48b2e,24罐/件,24罐/件
M,150055,SL07_SYS,干货,,件,小龙坎男服务员冬服M,21,,四川寒容达贸易有限公司,332955f5-0807-45fe-965d-da47a14e2a69,207,280200442,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
54个/箱,166306,SL02_SYS,干货,,个,密胺斜口鹅暖石圆盘2.0(迭代版),6,,四川煮饭自然馋贸易有限公司,37f81f64-1640-46f6-a982-45a3f18d1785,208,280300302,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
14.2*6.2cm（50个/箱）,114546,SL07_SYS,干货,,个,吃城都5.7寸高脚碗,6,,四川寒容达贸易有限公司,42b6dd24-1ede-4e5f-b1b8-a99451f47085,207,280300034,1,1,6,2803,个,餐具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
3XL,149852,SL07_SYS,干货,,件,2.0灰色服务员上衣男3XL 冬,21,,四川寒容达贸易有限公司,3c001f75-0d2f-4dfa-867b-88e498e14cb5,207,280200319,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
1,114434,SL07_SYS,干货,,件,冒大仙服务员围裙,21,,四川寒容达贸易有限公司,4cc79caa-328c-4ff2-b25c-a46504646dfe,207,280200110,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
1000ML,114183,SL07_SYS,干货,,个,1000ML量杯(统采),6,,四川寒容达贸易有限公司,44b1087a-117b-42ee-bdbe-5f3e0485c1a2,207,280100005,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
70*38*41cm,115563,SL07_SYS,干货,,个,定制304不锈钢干碟柜70cm*38cm*41cm,6,,四川群蓉达贸易有限公司,3ed85b9e-8762-404f-8070-97b885198796,201,280100167,1,1,6,2801,个,餐厨用具,3%增值税,,个,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,个,6
1kg*10盒/箱,115759,SL02_SYS,冻货,,10盒/箱,调味飞鱼籽1kg*10,8,,四川煮饭自然馋贸易有限公司,41fac807-aea1-408c-85d4-2e65c01b8846,208,200700011,1,1,8,2007,箱,江河湖海,13%增值税,,盒,,5e30996b-ec2a-4410-a317-c64856a48b2e,10盒/箱,10盒/箱
120*90mcm,115374,SL07_SYS,干货,,张,大侠-火锅条桌1200*900-B款(常规款),18,,四川群蓉达贸易有限公司,333ec6d3-c9be-4f4d-a58e-9c62f895da8a,201,260100045,1,1,18,2601,张,定制软装,3%增值税,,张,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,张,18
10kg/箱,115798,SL63_SYS,冻货,,10千克/箱,深海小海带海带苗10kg,23,,四川煮饭自然馋贸易有限公司,382f086c-3172-4bae-a14a-3998a9002edc,208,200900027,1,1,23,2009,箱,素菜,9%增值税,,千克,,5e30996b-ec2a-4410-a317-c64856a48b2e,10千克/箱,10千克/箱
1,114770,SL07_SYS,干货,,张,冒大仙封口膜,18,,四川寒容达贸易有限公司,42d1f2a7-69e2-4668-b81b-fc967a76eee7,207,280400121,1,1,18,2804,张,易耗用品,3%增值税,,张,,da1413ba-0221-4656-bfff-ec7dceaf47cd,张,18
300g/盒,114095,SL02_SYS,干货,,盒,爽亚爽卤鸭血300g,8,,四川煮饭自然馋贸易有限公司,3c1ebe57-2e4c-42b3-8fb1-f81c10936e6a,208,201000005,1,1,8,2010,盒,腌卤品,13%增值税,,盒,,5e30996b-ec2a-4410-a317-c64856a48b2e,盒,8
500g*10袋/箱,115652,SL63_SYS,干货,,10袋/箱,鲜不负卿鲜鸭血(上海直供),4,,四川煮饭自然馋贸易有限公司,4dedb4c0-46fa-458c-ab09-0d603d40d403,208,200300025,1,1,4,2003,箱,禽肉,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
1,114650,SL07_SYS,干货,,个,醉码头诸葛亮,6,,四川寒容达贸易有限公司,46371565-33bd-40e6-94d8-7c336e271119,207,280300216,1,1,6,2803,个,餐具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
45L,161941,SL02_SYS,干货,,个,45L超宝脚踏黑色垃圾桶,6,,四川煮饭自然馋贸易有限公司,3f134ff0-1c9d-4260-a248-2988d6fecfd0,208,240600722,1,1,6,2804,个,易耗用品,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
210g*18根/箱,114069,SL02_SYS,冻货,,18根/箱,王中王火腿肠(样品),28,,四川寒容达贸易有限公司,428562fd-ee9b-448d-b5cb-a817f3b0d3b2,207,200800021,1,1,28,2008,箱,方便食品,13%增值税,,根,,da1413ba-0221-4656-bfff-ec7dceaf47cd,18根/箱,18根/箱
4kg/箱,114077,SL07_SYS,干货,,4千克/箱,豆皮王中王4kg(深圳),23,,四川寒容达贸易有限公司,334fc710-f376-45bf-8fc3-71cf206551fb,207,200900007,1,1,23,2009,箱,素菜,3%增值税,,千克,,da1413ba-0221-4656-bfff-ec7dceaf47cd,4千克/箱,4千克/箱
160L,114906,SL07_SYS,干货,,个,大号塑料桶160L(统采),6,,四川寒容达贸易有限公司,3873e947-798f-4051-a919-d906617de19f,207,280500010,1,1,6,2805,个,清洁工具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
50双/盒,161997,SL02_SYS,干货,,50双/盒,L号英科医用手套50双,12,,四川煮饭自然馋贸易有限公司,42d5b6af-570b-4a28-a45d-0921e510f6ba,208,280400651,1,1,12,2804,盒,易耗用品,13%增值税,,双,,5e30996b-ec2a-4410-a317-c64856a48b2e,50双/盒,50双/盒
1.2kg*10袋/箱,115621,SL63_SYS,冻货,,10袋/箱,仔姜牛肉片1.2kg*10,4,,四川煮饭自然馋贸易有限公司,3ced8415-89ad-411b-8e41-a3b5612ae899,208,200100028,1,1,4,2001,箱,牛肉,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
120个/箱,163485,SL07_SYS,干货,,120个/箱,香菜蒜泥碗(粗4.5直口)-无小龙坎logo-120个,6,,四川寒容达贸易有限公司,4e8e9361-3555-435b-a524-0100ed7800ea,207,280301222,1,1,6,2803,箱,餐具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,120个/箱,120个/箱
四级净化,115310,SL02_SYS,干货,,台,莱易菲商用净水器(四级净化),13,,四川君乐天达贸易有限公司,47932400-2cb5-4df5-9643-0b919b142a49,206,270100013,1,1,13,2701,台,厨房设备,13%增值税,,台,,2aa441fa-acb0-4636-9c7a-078884c96df3,台,13
100张/包,114810,SL07_SYS,干货,,100张/包,甜品小标签2.5cm*3.5cm-100张,18,,四川寒容达贸易有限公司,3f6cb760-a6a1-4485-9bc7-2a043777cc5e,207,280400175,1,1,18,2804,包,易耗用品,3%增值税,,张,,da1413ba-0221-4656-bfff-ec7dceaf47cd,100张/包,100张/包
1kg*10袋/箱,115818,SL02_SYS,冻货,,10袋/箱,自然馋虎皮鸡爪(五香味)1kg*10,4,,四川煮饭自然馋贸易有限公司,431be1dd-578a-4017-9076-1146b89a8e82,208,201000003,1,1,4,2010,箱,腌卤品,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
25kg/桶,164035,SL02_SYS,干货,,25千克/桶,吃城都鲜鱼火锅底料(升级款)25kg,23,,四川君乐天达贸易有限公司,33601bee-820c-4dda-907b-ccf0336efadc,206,210100302,1,1,23,2101,桶,品牌方底料,13%增值税,,千克,,2aa441fa-acb0-4636-9c7a-078884c96df3,25千克/桶,25千克/桶
600g*30袋/箱,166140,SL02_SYS,干货,,30袋/箱,蜀大侠牛油底料600g*30(3.0版),4,,四川君乐天达贸易有限公司,38c7a1b8-1f26-4c4b-a607-7118ad2c5a82,206,210100064,1,1,4,2101,箱,品牌方底料,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,30袋/箱,30袋/箱
3XL,161142,SL07_SYS,干货,,件,夏装保洁服3XL,21,,四川寒容达贸易有限公司,42d7fe98-d668-45cb-bf08-44d26a43b2e5,207,280201098,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
60L,114270,SL07_SYS,干货,,个,卡扣式保温桶水龙头款60L(统采),6,,四川寒容达贸易有限公司,3dbc07cb-6ab5-4348-8035-a5937141be3e,207,280100103,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
240对,161955,SL02_SYS,干货,,对,7号南孚电池,5,,四川煮饭自然馋贸易有限公司,4e8f6c4f-9909-4d6c-87c9-054e1bf7e84c,208,280400696,1,1,5,2804,对,易耗用品,13%增值税,,对,,5e30996b-ec2a-4410-a317-c64856a48b2e,对,5
竹木盖子+塑料,161130,SL07_SYS,干货,,个,袁记纸巾盒11cm,6,,四川寒容达贸易有限公司,47942b3b-cfb1-4d95-acf8-779f0c11deb0,207,280401198,1,1,6,2804,个,易耗用品,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
5kg*4袋/箱,115646,SL63_SYS,冻货,,4袋/箱,南方美人凤爪(上海直供),4,,四川煮饭自然馋贸易有限公司,3f75acad-5161-462d-a619-ef3a73c5e24f,208,200300015,1,1,4,2003,箱,禽肉,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,4袋/箱,4袋/箱
500g*20袋/箱,113996,SL07_SYS,冻货,,20袋/箱,火食鲜鸭血500g*20(深圳),4,,四川寒容达贸易有限公司,43e0dc46-bab7-43f7-b2b7-6c44ff5914a1,207,200300004,1,1,4,2003,箱,禽肉,3%增值税,,袋,,da1413ba-0221-4656-bfff-ec7dceaf47cd,20袋/箱,20袋/箱
